state_abv,county,family,total_budget_avg,asian_hourly,white_hourly,black_hourly,hispanic_hourly
AK,Denali Borough,1p0c,47628.0,29.87,25.97,20.11,19.93
AK,Denali Borough,1p1c,75876.0,29.87,25.97,20.11,19.93
AK,Denali Borough,1p2c,97848.0,29.87,25.97,20.11,19.93
AK,Denali Borough,1p3c,120276.0,29.87,25.97,20.11,19.93
AK,Denali Borough,1p4c,132804.0,29.87,25.97,20.11,19.93
AK,Denali Borough,2p0c,63444.0,29.87,25.97,20.11,19.93
AK,Denali Borough,2p1c,89688.0,29.87,25.97,20.11,19.93
AK,Denali Borough,2p2c,109944.0,29.87,25.97,20.11,19.93
AK,Denali Borough,2p3c,129924.0,29.87,25.97,20.11,19.93
AK,Denali Borough,2p4c,143424.0,29.87,25.97,20.11,19.93
AK,Dillingham Census Area,1p0c,47160.0,29.87,25.97,20.11,19.93
AK,Dillingham Census Area,1p1c,74712.0,29.87,25.97,20.11,19.93
AK,Dillingham Census Area,1p2c,96768.0,29.87,25.97,20.11,19.93
AK,Dillingham Census Area,1p3c,118560.0,29.87,25.97,20.11,19.93
AK,Dillingham Census Area,1p4c,132612.0,29.87,25.97,20.11,19.93
AK,Dillingham Census Area,2p0c,64380.0,29.87,25.97,20.11,19.93
AK,Dillingham Census Area,2p1c,89460.0,29.87,25.97,20.11,19.93
AK,Dillingham Census Area,2p2c,109140.0,29.87,25.97,20.11,19.93
AK,Dillingham Census Area,2p3c,129312.0,29.87,25.97,20.11,19.93
AK,Dillingham Census Area,2p4c,143868.0,29.87,25.97,20.11,19.93
AK,Fairbanks North Star Borough,1p0c,50400.0,29.87,25.97,20.11,19.93
AK,Fairbanks North Star Borough,1p1c,85200.0,29.87,25.97,20.11,19.93
AK,Fairbanks North Star Borough,1p2c,108648.0,29.87,25.97,20.11,19.93
AK,Fairbanks North Star Borough,1p3c,138516.0,29.87,25.97,20.11,19.93
AK,Fairbanks North Star Borough,1p4c,150444.0,29.87,25.97,20.11,19.93
AK,Fairbanks North Star Borough,2p0c,68580.0,29.87,25.97,20.11,19.93
AK,Fairbanks North Star Borough,2p1c,98556.0,29.87,25.97,20.11,19.93
AK,Fairbanks North Star Borough,2p2c,120456.0,29.87,25.97,20.11,19.93
AK,Fairbanks North Star Borough,2p3c,147504.0,29.87,25.97,20.11,19.93
AK,Fairbanks North Star Borough,2p4c,160548.0,29.87,25.97,20.11,19.93
AK,Haines Borough,1p0c,48888.0,29.87,25.97,20.11,19.93
AK,Haines Borough,1p1c,78780.0,29.87,25.97,20.11,19.93
AK,Haines Borough,1p2c,101364.0,29.87,25.97,20.11,19.93
AK,Haines Borough,1p3c,125268.0,29.87,25.97,20.11,19.93
AK,Haines Borough,1p4c,138972.0,29.87,25.97,20.11,19.93
AK,Haines Borough,2p0c,66888.0,29.87,25.97,20.11,19.93
AK,Haines Borough,2p1c,92688.0,29.87,25.97,20.11,19.93
AK,Haines Borough,2p2c,112548.0,29.87,25.97,20.11,19.93
AK,Haines Borough,2p3c,135180.0,29.87,25.97,20.11,19.93
AK,Haines Borough,2p4c,148680.0,29.87,25.97,20.11,19.93
AK,Hoonah-Angoon Census Area,1p0c,49956.0,29.87,25.97,20.11,19.93
AK,Hoonah-Angoon Census Area,1p1c,79032.0,29.87,25.97,20.11,19.93
AK,Hoonah-Angoon Census Area,1p2c,101244.0,29.87,25.97,20.11,19.93
AK,Hoonah-Angoon Census Area,1p3c,123312.0,29.87,25.97,20.11,19.93
AK,Hoonah-Angoon Census Area,1p4c,137076.0,29.87,25.97,20.11,19.93
AK,Hoonah-Angoon Census Area,2p0c,67668.0,29.87,25.97,20.11,19.93
AK,Hoonah-Angoon Census Area,2p1c,92592.0,29.87,25.97,20.11,19.93
